Timestamp,MMSI,Latitude,Longitude,Navigational status,SOG,COG,Heading,Ship type,Name
25/12/2024 00:00:00,200000000,59.892189,24.498001,Under way using engine,15.8,96.0,96.0,Cargo,TRANSIT_00
25/12/2024 00:00:30,200000000,59.891957,24.502342,Under way using engine,15.8,97.5,97.5,Cargo,TRANSIT_00
25/12/2024 00:01:00,200000000,59.891671,24.506655,Under way using engine,16.1,96.7,96.7,Cargo,TRANSIT_00
25/12/2024 00:01:30,200000000,59.891409,24.511073,Under way using engine,15.8,99.2,99.2,Cargo,TRANSIT_00
25/12/2024 00:02:00,200000000,59.891059,24.515376,Under way using engine,16.0,99.7,99.7,Cargo,TRANSIT_00
25/12/2024 00:02:30,200000000,59.890686,24.519717,Under way using engine,15.9,96.7,96.7,Cargo,TRANSIT_00
25/12/2024 00:03:00,200000000,59.890428,24.524079,Under way using engine,16.1,96.6,96.6,Cargo,TRANSIT_00
25/12/2024 00:03:30,200000000,59.890172,24.528499,Under way using engine,15.7,97.9,97.9,Cargo,TRANSIT_00
25/12/2024 00:04:00,200000000,59.889872,24.532789,Under way using engine,16.3,97.0,97.0,Cargo,TRANSIT_00
25/12/2024 00:04:30,200000000,59.889598,24.537242,Under way using engine,15.6,97.8,97.8,Cargo,TRANSIT_00
25/12/2024 00:05:00,200000000,59.889305,24.541507,Under way using engine,16.0,97.5,97.5,Cargo,TRANSIT_00
25/12/2024 00:05:30,200000000,59.889016,24.54588,Under way using engine,16.0,98.5,98.5,Cargo,TRANSIT_00
25/12/2024 00:06:00,200000000,59.888687,24.550229,Under way using engine,16.6,98.6,98.6,Cargo,TRANSIT_00
25/12/2024 00:06:30,200000000,59.88834,24.554764,Under way using engine,15.6,97.4,97.4,Cargo,TRANSIT_00
25/12/2024 00:07:00,200000000,59.888062,24.559024,Under way using engine,16.0,96.8,96.8,Cargo,TRANSIT_00
25/12/2024 00:07:30,200000000,59.8878,24.563413,Under way using engine,15.7,99.7,99.7,Cargo,TRANSIT_00
25/12/2024 00:08:00,200000000,59.887432,24.56769,Under way using engine,15.5,96.7,96.7,Cargo,TRANSIT_00
25/12/2024 00:08:30,200000000,59.887181,24.571921,Under way using engine,16.1,99.0,99.0,Cargo,TRANSIT_00
25/12/2024 00:09:00,200000000,59.886833,24.576301,Under way using engine,15.5,98.8,98.8,Cargo,TRANSIT_00
25/12/2024 00:09:30,200000000,59.886503,24.580529,Under way using engine,15.8,98.4,98.4,Cargo,TRANSIT_00
25/12/2024 00:10:00,200000000,59.886184,24.584847,Under way using engine,16.1,98.3,98.3,Cargo,TRANSIT_00
25/12/2024 00:10:30,200000000,59.88586,24.589248,Under way using engine,16.1,98.3,98.3,Cargo,TRANSIT_00
25/12/2024 00:11:00,200000000,59.885537,24.593628,Under way using engine,15.9,98.1,98.1,Cargo,TRANSIT_00
25/12/2024 00:11:30,200000000,59.885226,24.597968,Under way using engine,15.2,98.9,98.9,Cargo,TRANSIT_00
25/12/2024 00:12:00,200000000,59.884898,24.602108,Under way using engine,15.6,97.5,97.5,Cargo,TRANSIT_00
25/12/2024 00:12:30,200000000,59.884615,24.606371,Under way using engine,15.7,97.0,97.0,Cargo,TRANSIT_00
